Mix_ID,Cement Amount  (kg/m³),Cement type,Cement Grade (Mpa),Silica Fume (kg/m³),Flayash Amount   (kg/m³),Limestone Powder  (kg/m3),Quartzpowder (kg/m3),Glass powder (kg/m3),Rice husk ash (kg/m3),Metakaolin (kg/m³),GGBFS  (kg/m³),Slag Amount   (kg/m³),Nano-CaCO3 (kg/m3),Nano-Al2O3 (kg/m3),Nano-TiO2 (kg/m3),Nano Silica (kg/m3),Filler (kg/m³),Fine Aggregate (kg/m³),Sand Type,Max Size (mm),Type of Fiber,Amount / Quantity of Fiber,Length (mm),Diameter (mm),Water (kg/m³),Type of Superplasticizer,Superplasticizer (kg/m³),Specimen,Testing Standard,28-Day,Water_Binder_Ratio,Binder
S10-F10,839.0,Type I/II low-alkali portland cement,52.5,104.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,56.5,100 x 100 x 100 ,BS1881,135.0,0.1404011461318051,1047.0
S10-F5-N5,839.0,Type I/II low-alkali portland cement,52.5,104.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,925.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,59.33,100 x 100 x 100 ,BS1881,132.0,0.1477386934673366,995.0
S10-F2.5-N7.5,839.0,Type I/II low-alkali portland cement,52.5,104.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,931.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,59.33,100 x 100 x 100 ,BS1881,122.5,0.1517027863777089,969.0
S10-N10,839.0,Type I/II low-alkali portland cement,52.5,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,931.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,62.15,100 x 100 x 100 ,BS1881,116.0,0.1558854718981972,943.0
S10-F5-M5,839.0,Type I/II low-alkali portland cement,52.5,104.0,52.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,64.98,100 x 100 x 100 ,BS1881,134.0,0.1404011461318051,995.0
S10-F2.5-M7.5,839.0,Type I/II low-alkali portland cement,52.5,104.0,26.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,64.98,100 x 100 x 100 ,BS1881,131.5,0.1404011461318051,969.0
S10-M10,839.0,Type I/II low-alkali portland cement,52.5,104.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,67.8,100 x 100 x 100 ,BS1881,130.5,0.1404011461318051,943.0
S10-F8-G2,839.0,Type I/II low-alkali portland cement,52.5,104.0,83.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,59.33,100 x 100 x 100 ,BS1881,134.5,0.1404011461318051,1047.0
S10-F6-G4,839.0,Type I/II low-alkali portland cement,52.5,104.0,62.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,62.15,100 x 100 x 100 ,BS1881,132.5,0.1404011461318051,1047.0
S10-N5-M5,839.0,Type I/II low-alkali portland cement,52.5,104.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,926.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,64.98,100 x 100 x 100 ,BS1881,123.0,0.1477386934673366,943.0
S10-N2-M6-G2,839.0,Type I/II low-alkali portland cement,52.5,104.0,0.0,0.0,0.0,0.0,0.0,62.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,923.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,67.8,100 x 100 x 100 ,BS1881,131.0,0.1432748538011695,964.0
S9-M9-G2,839.0,Type I/II low-alkali portland cement,52.5,94.0,0.0,0.0,0.0,0.0,0.0,94.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,67.8,100 x 100 x 100 ,BS1881,130.0,0.140267175572519,954.0
S9-M9-G12,755.0,Type I/II low-alkali portland cement,52.5,94.0,0.0,0.0,0.0,0.0,0.0,94.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,64.98,100 x 100 x 100 ,BS1881,111.5,0.140267175572519,954.0
S7.5-N2.5-M10,839.0,Type I/II low-alkali portland cement,52.5,78.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,940.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,62.15,100 x 100 x 100 ,BS1881,119.0,0.1439764936336924,917.0
S7.5-M12.5,839.0,Type I/II low-alkali portland cement,52.5,78.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,64.98,100 x 100 x 100 ,BS1881,121.0,0.1404011461318051,917.0
S5-M15,839.0,Type I/II low-alkali portland cement,52.5,52.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,Natural River sand,0.6,Straight Steel Fiber ,119.0,13.0,0.2,147.0,Polycarboxylate-based HRWRA,62.15,100 x 100 x 100 ,BS1881,116.0,0.1404011461318051,891.0
UHPC (U),856.0,Portland cement ,42.5,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,Quartz Sand ,0.8,Straight Steel Fibers ,160.0,13.0,0.2,182.0,High Performance Water-Reducing (SP),24.6,40 X 40 X 160 ,ASTM C109,157.0,0.1700934579439252,1070.0
GUHPC1 (G1),589.0,Portland cement ,42.5,214.0,161.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,Quartz Sand ,0.8,Straight Steel Fibers ,160.0,13.0,0.2,182.0,High Performance Water-Reducing (SP),16.1,40 X 40 X 160 ,ASTM C109,164.0,0.1699346405228758,1071.0
GUHPC2 (G2),375.0,Portland cement ,42.5,214.0,161.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,Quartz Sand ,0.8,Straight Steel Fibers ,160.0,13.0,0.2,182.0,High Performance Water-Reducing (SP),9.1,40 X 40 X 160 ,ASTM C109,144.0,0.1699346405228758,1071.0
Control-CEM+SF,1000.0, Portland cement,52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,162.0,0.18,1250.0
Control-CEM+FA+SF,700.0, Portland cement,52.5,250.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,50 x 50 x 50 ,GB/T 50081–2019,145.1,0.18,1250.0
Control-CEM+GGBS+SF,700.0, Portland cement,52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,50 x 50 x 50 ,GB/T 50081–2019,145.1,0.18,1250.0
RBP− 10CEM,900.0, Portland cement,52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,167.0,0.1956521739130435,1150.0
RBP− 20CEM,800.0, Portland cement,52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,157.0,0.2142857142857142,1050.0
RBP− 30CEM,700.0, Portland cement,52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,156.0,0.2368421052631578,950.0
RBP− 50CEM,500.0, Portland cement,52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,152.0,0.3,750.0
RBP− 70CEM,300.0, Portland cement,52.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,132.0,0.4090909090909091,550.0
RBP− 30SF,1000.0, Portland cement,52.5,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,168.0,0.1914893617021276,1175.0
RBP− 50SF,1000.0, Portland cement,52.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,152.0,0.2,1125.0
RBP− 70SF,1000.0, Portland cement,52.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,150.0,0.2093023255813953,1075.0
RBP− 100SF,1000.0, Portland cement,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,147.0,0.225,1000.0
RBP− 30CEM+30SF,700.0, Portland cement,52.5,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,166.0,0.2571428571428571,875.0
RBP− 30CEM+50SF,700.0, Portland cement,52.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,150.0,0.2727272727272727,825.0
RBP− 30CEM+70SF,700.0, Portland cement,52.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,147.0,0.2903225806451613,775.0
RBP− 30CEM+100SF,700.0, Portland cement,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,137.0,0.3214285714285714,700.0
RBP− 70CEM+30SF,300.0, Portland cement,52.5,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,130.0,0.4736842105263157,475.0
RBP− 70CEM+50SF,300.0, Portland cement,52.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,120.5,0.5294117647058824,425.0
RBP− 70CEM+70SF,300.0, Portland cement,52.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,108.0,0.6,375.0
RBP− 70CEM+100SF,300.0, Portland cement,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,1250.0,Silica sand,0.30 ,Straight Steel Fibers ,156.0,12.0,0.2,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,70.7 x 70.7 x 70.7,GB/T 50081–2019,103.0,0.75,300.0
Reference,807.0,High sulfate-resistant cement (Type HS cement),52.5,225.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,195.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,169.0,0.188953488372093,1032.0
90C/ 10GP,724.0,High sulfate-resistant cement (Type HS cement),52.5,224.0,0.0,0.0,241.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,195.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,168.0,0.2056962025316455,948.0
80C/20GP,639.0,High sulfate-resistant cement (Type HS cement),52.5,222.0,0.0,0.0,240.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,193.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,173.0,0.2241579558652729,861.0
70C/30GP,556.0,High sulfate-resistant cement (Type HS cement),52.5,221.0,0.0,0.0,238.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,192.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,165.0,0.2471042471042471,777.0
60C/40GP,473.0,High sulfate-resistant cement (Type HS cement),52.5,219.0,0.0,0.0,237.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,191.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,157.0,0.2760115606936416,692.0
50C/50GP,392.0,High sulfate-resistant cement (Type HS cement),52.5,217.0,0.0,0.0,235.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,190.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,150.0,0.3119868637110016,609.0
50QP/50GP,807.0,High sulfate-resistant cement (Type HS cement),52.5,224.0,0.0,0.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,195.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,172.0,0.1891367604267701,1031.0
0QP/100GP,807.0,High sulfate-resistant cement (Type HS cement),52.5,224.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,195.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,168.0,0.1891367604267701,1031.0
80C20GP/0QP100GP,636.0,High sulfate-resistant cement (Type HS cement),52.5,221.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,193.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,168.0,0.2252042007001166,857.0
80C20GP/0QP100GP-F,623.0,High sulfate-resistant cement (Type HS cement),52.5,216.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0,Quartz sand,0.6,Straight Steel Fibers ,158.0,13.0,0.2,188.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,172.0,0.2240762812872467,839.0
Reference,807.0,High sulfate-resistant cement (Type HS cement),52.5,225.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,195.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,205.0,0.188953488372093,1032.0
90C/ 10GP,724.0,High sulfate-resistant cement (Type HS cement),52.5,224.0,0.0,0.0,241.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,195.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,210.0,0.2056962025316455,948.0
80C/20GP,639.0,High sulfate-resistant cement (Type HS cement),52.5,222.0,0.0,0.0,240.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,193.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,212.0,0.2241579558652729,861.0
70C/30GP,556.0,High sulfate-resistant cement (Type HS cement),52.5,221.0,0.0,0.0,238.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,192.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,197.0,0.2471042471042471,777.0
60C/40GP,473.0,High sulfate-resistant cement (Type HS cement),52.5,219.0,0.0,0.0,237.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,191.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,195.0,0.2760115606936416,692.0
50C/50GP,392.0,High sulfate-resistant cement (Type HS cement),52.5,217.0,0.0,0.0,235.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,190.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,190.0,0.3119868637110016,609.0
50QP/50GP,807.0,High sulfate-resistant cement (Type HS cement),52.5,224.0,0.0,0.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,195.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,222.0,0.1891367604267701,1031.0
0QP/100GP,807.0,High sulfate-resistant cement (Type HS cement),52.5,224.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,195.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,234.0,0.1891367604267701,1031.0
80C20GP/0QP100GP,636.0,High sulfate-resistant cement (Type HS cement),52.5,221.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,Quartz sand,0.6,Straight Steel Fibers ,156.0,13.0,0.2,193.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,212.0,0.2252042007001166,857.0
80C20GP/0QP100GP-F,623.0,High sulfate-resistant cement (Type HS cement),52.5,216.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0,Quartz sand,0.6,Straight Steel Fibers ,158.0,13.0,0.2,188.0,polycarboxylate (PCE)-based high-range water-reducing admixture (HRWRA),13.0,50 x 50 x 50,ASTM C 109,220.0,0.2240762812872467,839.0
BMWR,900.0,"Ordinary Portland cement
ASTM C150 type I",52.5,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,Fine dune sand,0.6,Straight Steel Fibers ,157.0,12.7,0.15,162.0,polycarboxylic-based ether hyperplasticiser,40.0,40 x 40 x 160 ,ASTM C109,161.0,0.1446428571428571,1120.0
NP40RMS,900.0,"Ordinary Portland cement
ASTM C150 type I",52.5,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1030.0,Fine dune sand,0.6,Straight Steel Fibers ,157.0,12.7,0.15,162.0,polycarboxylic-based ether hyperplasticiser,40.0,40 x 40 x 160 ,ASTM C109,147.0,0.1569767441860465,1032.0
NP60RMS,900.0,"Ordinary Portland cement
ASTM C150 type I",52.5,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,1042.0,Fine dune sand,0.6,Straight Steel Fibers ,157.0,12.7,0.15,162.0,polycarboxylic-based ether hyperplasticiser,40.0,40 x 40 x 160 ,ASTM C109,154.0,0.1639676113360323,988.0
NP80RMS,900.0,"Ordinary Portland cement
ASTM C150 type I",52.5,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,1055.0,Fine dune sand,0.6,Straight Steel Fibers ,157.0,12.7,0.15,162.0,polycarboxylic-based ether hyperplasticiser,40.0,40 x 40 x 160 ,ASTM C109,136.0,0.1716101694915254,944.0
FA40RMS,900.0,"Ordinary Portland cement
ASTM C150 type I",52.5,132.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,Fine dune sand,0.6,Straight Steel Fibers ,157.0,12.7,0.15,162.0,polycarboxylic-based ether hyperplasticiser,40.0,40 x 40 x 160 ,ASTM C109,150.0,0.1446428571428571,1120.0
FA60RMS,900.0,"Ordinary Portland cement
ASTM C150 type I",52.5,88.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.0,Fine dune sand,0.6,Straight Steel Fibers ,157.0,12.7,0.15,162.0,polycarboxylic-based ether hyperplasticiser,40.0,40 x 40 x 160 ,ASTM C109,158.0,0.1446428571428571,1120.0
FA80RMS,900.0,"Ordinary Portland cement
ASTM C150 type I",52.5,44.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.0,Fine dune sand,0.6,Straight Steel Fibers ,157.0,12.7,0.15,162.0,polycarboxylic-based ether hyperplasticiser,40.0,40 x 40 x 160 ,ASTM C109,143.0,0.1446428571428571,1120.0
LSP05RMS,900.0,"Ordinary Portland cement
ASTM C150 type I",52.5,209.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,Fine dune sand,0.6,Straight Steel Fibers ,157.0,12.7,0.15,162.0,polycarboxylic-based ether hyperplasticiser,40.0,40 x 40 x 160 ,ASTM C109,159.0,0.1460775473399459,1109.0
LSP10RMS,900.0,"Ordinary Portland cement
ASTM C150 type I",52.5,198.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,Fine dune sand,0.6,Straight Steel Fibers ,157.0,12.7,0.15,162.0,polycarboxylic-based ether hyperplasticiser,40.0,40 x 40 x 160 ,ASTM C109,146.0,0.1475409836065573,1098.0
LSP20RMS,900.0,"Ordinary Portland cement
ASTM C150 type I",52.5,176.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0,Fine dune sand,0.6,Straight Steel Fibers ,157.0,12.7,0.15,162.0,polycarboxylic-based ether hyperplasticiser,40.0,40 x 40 x 160 ,ASTM C109,152.0,0.1505576208178438,1076.0
